N,dim,pattern,selectivity,qualified,qualified_actual,inline_p50_ms,prefilter_p50_ms,inline_p90_ms,prefilter_p90_ms,latency_gain,recall,inline_qps,prefilter_qps,qps_gain,inline_cpu_pct,prefilter_cpu_pct,inline_main_cpu_pct,prefilter_main_cpu_pct,bottleneck,k,data
5000,768,text AND text,0.01,50,50,0.11901697143912315,0.09670504368841648,0.14005799312144518,0.10270602069795132,1.230721448434434,0.1,,,,,,,,,10,clustered
5000,768,text AND text,0.02,100,100,0.11461297981441021,0.10757101699709892,0.13179099187254906,0.11142401490360498,1.065463384226452,0.11000000000000001,12407.373085286343,12900.967957320025,1.039782383316822,103.64566402442945,106.15653633451907,40.47116404763435,41.77456290941722,client-bound,10,clustered
5000,768,text AND text,0.035,175,175,0.13790500815957785,0.12950901873409748,0.15079102013260126,0.13478996697813272,1.064829380282146,0.11000000000000001,,,,,,,,,10,clustered
5000,768,text AND text,0.05,250,250,0.13062497600913048,0.15807501040399075,0.14701904729008675,0.1765060005709529,0.8263480462553412,0.11000000000000001,,,,,,,,,10,clustered
5000,768,text AND text,0.07,350,350,0.131158041767776,0.18041091971099377,0.1523350365459919,0.19146606791764498,0.7269961373617652,0.15,,,,,,,,,10,clustered
5000,768,text AND text,0.1,500,500,0.12702005915343761,0.23476197384297848,0.14169909991323948,0.24476402904838324,0.5410589162893796,0.19,12418.639549053176,12166.669131254572,0.9797103042725952,103.90312640668623,265.8520345922174,40.87184593248794,41.84707951914533,client-bound,10,clustered
5000,768,num AND tag,0.001,5,5,2.259884960949421,0.0794270308688283,2.3398209596052766,0.08527992758899927,28.452340925113553,1.0,,,,,,,,,10,clustered
5000,768,num AND tag,0.002,10,10,2.0702729234471917,0.09565404616296291,2.290212083607912,0.09897805284708738,21.643338745128776,1.0,,,,,,,,,10,clustered
5000,768,num AND tag,0.004,20,20,1.3774089748039842,0.0994889996945858,1.544396043755114,0.10552303865551949,13.844836906918292,1.0,,,,,,,,,10,clustered
5000,768,num AND tag,0.005,25,25,,,,,,,3523.2274584445768,12946.783325850553,3.674694148633326,415.8986632168694,93.65653272079211,11.414879778028633,40.91311692539866,reader-bound,10,clustered
5000,768,num AND tag,0.007,35,35,0.993169960565865,0.10325107723474503,1.1716949520632625,0.10868895333260298,9.618979163847923,1.0,,,,,,,,,10,clustered
5000,768,num AND tag,0.01,50,50,0.7091829320415854,0.11689402163028717,0.8496170630678535,0.13859698083251715,6.066887956721959,1.0,,,,,,,,,10,clustered
5000,768,num AND tag,0.02,100,100,0.3880830481648445,0.14632404781877995,0.4755699774250388,0.154174049384892,2.6522164603147074,1.0,11733.473804024392,12851.824268464534,1.095312818958744,439.33735612977154,152.21793472174252,41.06418981843585,40.88701806441628,reader-bound,10,clustered
5000,768,num AND tag,0.035,175,175,0.36529393400996923,0.1856170129030943,0.447490019723773,0.19600300583988428,1.9679981284941779,1.0,,,,,,,,,10,clustered
5000,768,num AND tag,0.05,250,250,0.2511939965188503,0.23186998441815376,0.33481407444924116,0.24490104988217354,1.083339860263447,1.0,,,,,,,,,10,clustered
5000,768,num AND tag,0.07,350,350,0.21387997549027205,0.2788109704852104,0.26981800328940153,0.30894798692315817,0.7671146336819532,1.0,,,,,,,,,10,clustered
5000,768,num AND tag,0.1,500,500,0.1799209276214242,0.3532269038259983,0.21383201237767935,0.376654090359807,0.5093636007693636,1.0,12433.560624545733,12129.708281220308,0.9755619204746889,171.33149042391364,378.6379406640316,40.255536431979706,38.405408805974595,reader-bound,10,clustered
5000,768,num AND tag AND text,0.001,5,5,2.2035320289433002,0.08068897295743227,2.2620499366894364,0.08952792268246412,27.308961165062552,1.0,,,,,,,,,10,clustered
5000,768,num AND tag AND text,0.002,10,10,2.0556889940053225,0.093068927526474,2.1314460318535566,0.10017002932727337,22.087812212304367,1.0,,,,,,,,,10,clustered
5000,768,num AND tag AND text,0.004,20,20,1.3139090733602643,0.10129297152161598,1.5032660448923707,0.10561197996139526,12.971374554648891,1.0,,,,,,,,,10,clustered
5000,768,num AND tag AND text,0.005,25,25,,,,,,,3654.7450328521704,12852.914012386884,3.516774466304273,414.3533065080193,98.66743954544108,12.902019124800601,42.42699900453967,reader-bound,10,clustered
5000,768,num AND tag AND text,0.007,35,35,1.038611982949078,0.10840909089893103,1.2428140034899116,0.11753907892853022,9.580487893929192,1.0,,,,,,,,,10,clustered
5000,768,num AND tag AND text,0.01,50,50,0.7427070522680879,0.11991499923169613,0.8624179754406214,0.12575008440762758,6.193612617492928,1.0,,,,,,,,,10,clustered
5000,768,num AND tag AND text,0.02,100,100,0.3755480283871293,0.15013094525784254,0.49161596689373255,0.15886093024164438,2.5014698185117266,1.0,11735.076897590669,12772.290166875518,1.088385724127449,435.09027469474574,162.2426048224728,38.070399035790246,42.90305963390618,reader-bound,10,clustered
5000,768,num AND tag AND text,0.035,175,175,0.32657606061547995,0.18459290731698275,0.41136599611490965,0.19736704416573048,1.7691690615971711,1.0,,,,,,,,,10,clustered
5000,768,num AND tag AND text,0.05,250,250,0.21941098384559155,0.22106897085905075,0.30448799952864647,0.2363240346312523,0.9925001369164725,1.0,,,,,,,,,10,clustered
